Sample name,Sex,Biosample ID,Population code,Population name,Superpopulation code,Superpopulation name,Population elastic ID,Data collections,PC1,PC2,PC3,PC4,PC5
abh100,male,SAMEA3302693,"",Abkhasian,"",West Eurasia (SGDP),AbkhasianSGDP,Simons Genome Diversity Project,,,,,
abh107,male,SAMEA3302655,"",Abkhasian,"",West Eurasia (SGDP),AbkhasianSGDP,Simons Genome Diversity Project,,,,,
ALB212,female,SAMEA3302780,"",Albanian,"",West Eurasia (SGDP),AlbanianSGDP,Simons Genome Diversity Project,,,,,
Ale14,female,SAMEA3302889,"",Tlingit,"",Central Asia and Siberia (SGDP),TlingitSGDP,Simons Genome Diversity Project,,,,,
Ale20,female,SAMEA3302642,"",Aleut,"",Central Asia and Siberia (SGDP),AleutSGDP,Simons Genome Diversity Project,,,,,
Ale22,male,SAMEA3302773,"",Aleut,"",Central Asia and Siberia (SGDP),AleutSGDP,Simons Genome Diversity Project,,,,,
Ale32,male,SAMEA3302853,"",Tlingit,"",Central Asia and Siberia (SGDP),TlingitSGDP,Simons Genome Diversity Project,,,,,
altai363p,male,SAMEA3302753,"",Altaian,"",Central Asia and Siberia (SGDP),AltaianSGDP,Simons Genome Diversity Project,,,,,
armenia293,male,SAMEA3302624,"",Armenian,"",West Eurasia (SGDP),ArmenianSGDP,Simons Genome Diversity Project,,,,,
Armenian222,male,SAMEA3302672,"",Armenian,"",West Eurasia (SGDP),ArmenianSGDP,Simons Genome Diversity Project,,,,,
AV-21,female,SAMEA3302765,"",Crete,"",West Eurasia (SGDP),CreteSGDP,Simons Genome Diversity Project,,,,,
Ayodo_430C,male,SAMEA3302868,"",Luo,"",Africa (SGDP),LuoSGDP,Simons Genome Diversity Project,,,,,
Ayodo_502C,female,SAMEA3302810,"",Luo,"",Africa (SGDP),LuoSGDP,Simons Genome Diversity Project,,,,,
Ayodo_81S,female,SAMEA3302884,"",Somali,"",Africa (SGDP),SomaliSGDP,Simons Genome Diversity Project,,,,,
B11,male,SAMEA3302829,"",Brahmin,"",South Asia (SGDP),BrahminSGDP,Simons Genome Diversity Project,,,,,
B17,male,SAMEA3302645,"",Brahmin,"",South Asia (SGDP),BrahminSGDP,Simons Genome Diversity Project,,,,,
Bishkek28439,female,SAMEA3302768,"",Kyrgyz,"",Central Asia and Siberia (SGDP),KyrgyzSGDP,Simons Genome Diversity Project,,,,,
Bishkek28440,male,SAMEA3302717,"",Kyrgyz,"",Central Asia and Siberia (SGDP),KyrgyzSGDP,Simons Genome Diversity Project,,,,,
Bu16,male,SAMEA3302895,"",Burmese,"",East Asia (SGDP),BurmeseSGDP,Simons Genome Diversity Project,,,,,
Bu5,male,SAMEA3302692,"",Burmese,"",East Asia (SGDP),BurmeseSGDP,Simons Genome Diversity Project,,,,,
